demo_slug,title,demo_description,demo_image_url
ai-concepts-demo,Artificial Intelligence Concepts,"An overview of Artificial Intelligence (AI), its relationship with Machine Learning and Deep Learning, key subfields, and core concepts.","https://placehold.co/600x400/DB2777/FFFFFF?text=AI+Concepts"
ai-tools-demo,AI Tools in Development,"Exploring the benefits and pitfalls of using AI code assistants like Copilot and ChatGPT in ML/DS development, emphasizing responsible use.","https://placehold.co/600x400/C026D3/FFFFFF?text=AI+Tools"
colour-theme-switcher-demo,Colour Theme Switcher Demo,"Demonstration of dynamic theme switching using CSS and JavaScript.","https://placehold.co/600x400/0EA5E9/FFFFFF?text=Theme+Switcher"
data-engineering-demo,Data Engineering Concepts,"Learn about Data Engineering principles, practices, tools, and its crucial role in supporting Data Science and Machine Learning.","https://placehold.co/600x400/10B981/FFFFFF?text=Data+Engineering"
data-security-demo,Security in ML AI & Data Science,"Understanding key security risks and considerations in machine learning, AI, and data science, including data privacy, model security, and infrastructure protection.","https://placehold.co/600x400/F43F5E/FFFFFF?text=Data+Security"
deploying-django-app-to-aws-elastic-beanstalk,Deploying Django to AWS Elastic Beanstalk,"A step-by-step guide on deploying Django applications to AWS Elastic Beanstalk using the EB CLI, covering configuration, deployment, and troubleshooting.","https://placehold.co/600x400/F97316/FFFFFF?text=Deploy+to+AWS+EB"
deploying-django-app-to-google-app-engine,Deploying Django to Google App Engine,"Guide on deploying Django applications to Google App Engine (GAE) Standard Environment using the gcloud CLI.","https://placehold.co/600x400/4285F4/FFFFFF?text=Deploy+to+GAE"
deploying-django-app-to-heroku,Deploying Django to Heroku,"Step-by-step guide for deploying Django applications to the Heroku platform using the Heroku CLI.","https://placehold.co/600x400/673AB7/FFFFFF?text=Deploy+to+Heroku"
deploying-django-app-to-pythonanywhere,Deploying Django to PythonAnywhere,"Step-by-step guide for deploying Django applications to PythonAnywhere.com.","https://placehold.co/600x400/34D399/FFFFFF?text=Deploy+to+PAW"
deploying-django-app-to-render,Deploying Django to Render,"Step-by-step guide for deploying Django applications to the Render platform.","https://placehold.co/600x400/0891B2/FFFFFF?text=Deploy+to+Render"
deploying-django-comparisons,Comparison: Django Deployment Platforms,"Comparing Heroku, Render, PythonAnywhere, Google App Engine, and AWS Elastic Beanstalk for Django deployment.","https://placehold.co/600x400/6B7280/FFFFFF?text=Deploy+Compare"
deploying-django-options,Overview: Django Deployment Options,"Exploring different options (PaaS, IaaS, FaaS, Containers) for deploying Django web applications.","https://placehold.co/600x400/71717A/FFFFFF?text=Deploy+Options"
devops-mlops-demo,DevOps & MLOps Concepts,"Learn about DevOps principles and how they apply to Machine Learning (MLOps) for efficient AI development and deployment.","https://placehold.co/600x400/0D9488/FFFFFF?text=DevOps+MLOps"
django-concepts-demo,Key Django Concepts,"Learn about key Django framework features.","https://placehold.co/600x400/16A34A/FFFFFF?text=Django+Concepts"
django-security-demo,Django Security Features,"Learn about Django's built-in security features like CSRF protection, XSS prevention, and SQL injection defense.","https://placehold.co/600x400/E11D48/FFFFFF?text=Django+Security"
django-testing-demo,Django Testing Explained,"Learn about Django's testing framework, including model, view, and form testing.","https://placehold.co/600x400/F59E0B/FFFFFF?text=Django+Testing"
drf-concepts-demo,DRF Concepts,"Learn about key concepts in Django REST Framework (DRF) for building Web APIs, especially for ML/AI applications.","https://placehold.co/600x400/4B5563/FFFFFF?text=DRF+Concepts"
ethical-hacking-demo,Ethical Hacking in AI/ML,"Learn about applying ethical hacking principles and an adversarial mindset to enhance the security of Machine Learning and AI systems.","https://placehold.co/600x400/374151/FFFFFF?text=Ethical+Hacking"
feature-engineering-demo,Feature Engineering Concepts,"Learn about Feature Engineering techniques used to improve Machine Learning model performance by transforming raw data into informative features.","https://placehold.co/600x400/059669/FFFFFF?text=Feature+Engineering"
flask-api-demo,Flask for Machine Learning APIs,"Learn how Flask, a Python microframework, is used for creating simple Machine Learning APIs. Includes a conceptual code example.","https://placehold.co/600x400/4B5563/FFFFFF?text=Flask+API"
generative-ai-demo,Generative AI Concepts,"Learn about Generative AI, including how it works, its applications in text, image, and code generation, and its role in modern AI.","https://placehold.co/600x400/DB2777/FFFFFF?text=Generative+AI"
go-concepts-demo,Go (Golang) in ML/AI,"Learn about Go (Golang) and its applications in Machine Learning and Data Science infrastructure, focusing on concurrency and performance.","https://placehold.co/600x400/0E7490/FFFFFF?text=Go+Concepts"
java-concepts-demo,Java in ML/AI,"Learn about Java's role in the Machine Learning and Data Science ecosystem, including Big Data (Spark, Hadoop) and enterprise AI systems.","https://placehold.co/600x400/F97316/FFFFFF?text=Java+Concepts"
jupyter-demo,Jupyter Notebooks in ML/DS,"Learn about Jupyter Notebooks and their importance for interactive computing in Data Science and Machine Learning workflows.","https://placehold.co/600x400/F59E0B/FFFFFF?text=Jupyter+Notebooks"
kotlin-concepts-demo,Kotlin in AI & Android,"Learn about Kotlin, its features, and its role in Android app development, especially for on-device AI with TensorFlow Lite.","https://placehold.co/600x400/8B5CF6/FFFFFF?text=Kotlin+Concepts"
language-comparison-demo,Languages for ML/AI & Data Science,"A comparison of Python, R, SQL, Scala, Java, C++, and other programming languages for Machine Learning, AI, and Data Science workflows.","https://placehold.co/600x400/A855F7/FFFFFF?text=Lang+Compare"
oop-concepts-demo,OOP Concepts for ML/DS,"Understanding Object-Oriented Programming (OOP) principles in Python and their application in Data Science and Machine Learning libraries.","https://placehold.co/600x400/EC4899/FFFFFF?text=OOP+Concepts"
pyspark-concepts-demo,PySpark Concepts,"Learn about PySpark, the Python API for Apache Spark, used for large-scale data processing and distributed machine learning.","https://placehold.co/600x400/F97316/FFFFFF?text=PySpark"
python-concepts-demo,Python Concepts Demo,"Interactive examples of core Python concepts like lists, dictionaries, loops, and functions, relevant to data science and machine learning.","https://placehold.co/600x400/84CC16/FFFFFF?text=Python+Concepts"
pytorch-concepts-demo,PyTorch Concepts,"Learn about core PyTorch concepts for deep learning, including Tensors, Autograd, nn.Module, and training loops.","https://placehold.co/600x400/EF4444/FFFFFF?text=PyTorch"
r-concepts-demo,R Concepts for Data Science,"Learn about core R language concepts, data structures (vectors, data frames), and key packages like dplyr and ggplot2 for statistical computing and data science.","https://placehold.co/600x400/06B6D4/FFFFFF?text=R+Concepts"
ruby-concepts-demo,Ruby & Rails in ML/AI,"Learn about Ruby and the Ruby on Rails framework and how they typically integrate with external Machine Learning services via APIs.","https://placehold.co/600x400/E11D48/FFFFFF?text=Ruby+Rails"
scala-concepts-demo,Scala Concepts for Big Data & ML,"Learn about the Scala programming language, its functional features, JVM integration, and its key role in Apache Spark for Big Data and Machine Learning.","https://placehold.co/600x400/F43F5E/FFFFFF?text=Scala+Spark"
ev-charging-load-prediction-pytorch,EV Charging Load Prediction with PyTorch,"Learn about ev charging load prediction with PyTorch","https://placehold.co/600x400/F43F5E/FFFFFF?text=EV Charging+Load+Prediction"
machine-translation-seq2seq-keras,Machine Translation using Seq2Seq,"Learn about machine translation, using seq2seq and keras","https://placehold.co/600x400/F43F5E/FFFFFF?text=Machine+Translation+Demo"
ab-testing-shoefly-demo,AB Testing Shoefly Demo,"Learn about ab testing, with the shoefly demo","https://placehold.co/600x400/F43F5E/FFFFFF?text=AB+Testing+Demo"
pyspark-wikipedia-clickstream-analysis,Pyspark Wikipedia Clickstream Analysis,"Learn wikepedia clickstream analysis with pyspark.","https://placehold.co/600x400/F43F5E/FFFFFF?text=Wikipedia+Clickstream+Analysis"